flight_id,delay_min,distance_km,seat_load_factor,dep_hour,arr_hour,cancelled,airline_american,airline_delta,airline_frontier,airline_jetblue,airline_southwest,airline_spirit,airline_united,origin_atl,origin_aus,origin_bos,origin_clt,origin_dal,origin_den,origin_dfw,origin_dtw,origin_ewr,origin_fll,origin_hou,origin_iad,origin_iah,origin_jfk,origin_las,origin_lax,origin_mco,origin_msp,origin_ord,origin_pdx,origin_phl,origin_phx,origin_sea,origin_sfo,origin_slc,origin_smf,destination_aus,destination_bos,destination_bwi,destination_dal,destination_den,destination_dfw,destination_dtw,destination_ewr,destination_hou,destination_iah,destination_jfk,destination_las,destination_lax,destination_lga,destination_mco,destination_msy,destination_ord,destination_phx,destination_rsw,destination_san,destination_sea,destination_sfo
F0001,-0.35714218995746383,0.10606078813097757,0.9424774451640275,-1.2482135986318368,-1.2001377785351917,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
F0002,-1.4339528129447918,-0.9860854369001554,1.5851616235751174,-0.9859838510201064,-1.2001377785351917,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F0003,0.5760936832982205,0.22221223303827678,0.2997932667529378,-0.4615243557966455,-0.4140213297130137,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0004,-0.17767375279290912,-1.2409733298911731,-0.5791718596034057,-0.19929460818491512,-0.4140213297130137,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
F0005,-0.7160790642865732,0.6303555047264255,1.3772343893832952,0.5873946346502761,0.6341339353832235,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
F0006,2.1374690866298462,0.5787326403231815,-0.18221986705537915,-1.5104433462435671,-1.2001377785351917,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
F0007,2.1374690866298462,-0.3069221270949753,-1.3825270826172682,0.32516488703854574,0.3720951191091642,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0008,-0.14178006535999818,-0.33757320283440145,-0.7587453800417989,1.3740838774854676,1.158211567931342,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
F0009,-1.2185906883473263,-0.9699532917741416,0.630586593876293,-1.2482135986318368,-1.4621765948092509,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
F0010,-0.5007169396891076,0.4190244035756449,-0.04045129828822695,-0.723754103408376,-0.9380989622611323,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0011,0.14536943410328934,-0.48276250896852546,-0.04045129828822695,0.32516488703854574,0.3720951191091642,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
F0012,-0.859653814018217,-1.2006429670761387,-0.9666726142336224,-0.4615243557966455,-0.676060145987073,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
F0013,-0.21356744022582005,0.5093644162813222,0.8385138280681165,0.06293513942681528,0.11005630283510492,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
F0014,-1.6493149375422576,-1.3780965634622904,0.3848544080132297,0.8496243822620065,0.6341339353832235,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
F0015,1.0786053073589739,-0.8489622033290382,-1.5904543168090917,1.8985433727089283,1.6822892004794607,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0016,0.2889441838349331,0.3609486811219953,-1.2785634655213571,-0.9859838510201064,-0.9380989622611323,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
F0017,-0.6442916894207513,-0.3085353416075767,1.0653435380955594,-0.4615243557966455,-0.676060145987073,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F0018,-0.17767375279290912,-0.3343467738091987,-0.2956347220691012,0.5873946346502761,0.3720951191091642,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
F0019,-0.9314411888840389,-1.3700304908992833,0.18637841173921577,1.1118541298737372,0.8961727516572828,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0020,0.0017946843716455784,-0.6876407520689004,-1.0989899450829639,1.8985433727089283,1.94432801675352,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
F0021,-0.42892956482328576,1.9047949696815143,1.452844292725776,-1.2482135986318368,-1.2001377785351917,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
F0022,0.3607315587007549,0.5690533532475732,0.05406108088987452,-0.723754103408376,-0.676060145987073,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0023,-0.0699926904941763,1.332103817708025,-1.48649069971318,0.32516488703854574,0.11005630283510492,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
F0024,2.011841180614658,0.8416866058772061,-1.0422825175761035,0.8496243822620065,1.158211567931342,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
F0025,-0.5725043145549294,-0.28756355294375874,0.5833304042872423,1.636313625097198,1.6822892004794607,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0026,2.1374690866298462,2.6851874901524306,1.7080277165066502,-1.2482135986318368,0.3720951191091642,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0027,0.7196684330298643,0.4287036906512532,0.13912222215016504,-0.4615243557966455,-0.15198251343895436,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0028,-1.0032285637498606,-1.1796711784123208,-0.6547817629458865,0.06293513942681528,-0.15198251343895436,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
F0029,-1.36216543807897,-0.10204388399460021,1.3016244860408128,0.5873946346502761,0.8961727516572828,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
F0030,0.8632431827615081,2.07579570801726,-0.39014710124720264,1.8985433727089283,2.2063668330275794,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0031,-0.28535481509164196,1.0449516344649799,-1.3636246067816482,-0.9859838510201064,-0.9380989622611323,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0032,0.07358205923746747,-0.33757320283440145,-1.1935023242610652,-0.19929460818491512,-0.15198251343895436,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0033,-0.7878664391523952,-0.771527906724172,0.7345502109722041,0.32516488703854574,0.11005630283510492,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
F0034,-0.17767375279290912,2.664619005116763,1.5095517202326363,1.1118541298737372,1.158211567931342,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
F0035,-0.35714218995746383,-1.2070958251265442,0.44156183552009004,1.636313625097198,1.4202503842054015,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
F0036,-0.6442916894207513,-1.2409733298911731,-0.8816114729733305,-1.2482135986318368,-1.4621765948092509,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0037,0.21715680896911124,0.9288001895576805,1.2165633447805224,-0.723754103408376,-0.676060145987073,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
F0038,1.0068179324931519,0.7658655237849413,-0.06880501204165847,0.06293513942681528,0.11005630283510492,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
F0039,0.5043063084323988,-0.7182918278083266,-1.7794790751652945,0.5873946346502761,0.3720951191091642,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0040,0.14536943410328934,0.11412686069398446,-1.2691122276035467,1.1118541298737372,1.4202503842054015,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0041,-0.35714218995746383,0.10606078813097757,0.9424774451640275,-1.2482135986318368,-1.2001377785351917,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
F0042,-1.4339528129447918,-0.9860854369001554,1.5851616235751174,-0.9859838510201064,-1.2001377785351917,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
F0043,0.5760936832982205,0.22221223303827678,0.2997932667529378,-0.4615243557966455,-0.4140213297130137,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0044,-0.17767375279290912,-1.2409733298911731,-0.5791718596034057,-0.19929460818491512,-0.4140213297130137,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
F0045,-0.7160790642865732,0.6303555047264255,1.3772343893832952,0.5873946346502761,0.6341339353832235,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
F0046,2.1374690866298462,0.5787326403231815,-0.18221986705537915,-1.5104433462435671,-1.2001377785351917,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
F0047,2.1374690866298462,-0.3069221270949753,-1.3825270826172682,0.32516488703854574,0.3720951191091642,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
F0048,-0.14178006535999818,-0.33757320283440145,-0.7587453800417989,1.3740838774854676,1.158211567931342,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
F0049,-1.2185906883473263,-0.9699532917741416,0.630586593876293,-1.2482135986318368,-1.4621765948092509,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
F0050,-0.5007169396891076,0.4190244035756449,-0.04045129828822695,-0.723754103408376,-0.9380989622611323,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
